id,name,category,quantity,retail_quantity,location,barcode,type,weight,carton_count,units_per_carton,flavor,carton_fraction,unit_type,wholesale_supplier_price,wholesale_sale_price,retail_sale_price,extra_retail_quantity,min_quantity
8,kgفحم كوكومود 1,Wholesale / جملة,13,0,Store 2 / مخزن 2,7.69503E+11,Wholesale / جملة,1kg / 1 كجم,13,0,,,,,,,,
9,kgروبى كراش مزايا 1,Retail / قطاعى,0,4,Store 2 / مخزن 2,6224010597501,Retail / قطاعى,1kg / 1 كجم,0,4,روبى كراش,,,,,,,
10,kgتفاحتين مزايا 1,Retail / قطاعى,0,7,Store 2 / مخزن 2,6224010597518,Retail / قطاعى,1kg / 1 كجم,0,7,تفاحتين,,,,,,,
23,gتويست مزايا 250,Retail / قطاعى,0,12,Store 2 / مخزن 2,6224010597389,Retail / قطاعى,250g / 250 جم,0,12,تويست,,,,,,,
27,gعلكة مزايا 250,Retail / قطاعى,0,4,Store 2 / مخزن 2,6224010597211,Retail / قطاعى,250g / 250 جم,0,4,علكة,,,,,,,
33,gكاندى دروبس مزايا 250,Retail / قطاعى,0,17,Store 2 / مخزن 2,6224010597310,Retail / قطاعى,250g / 250 جم,0,17,كاندى دروبس,,,,,,,
35,gعنب مزايا 250,Retail / قطاعى,0,20,Store 2 / مخزن 2,6224010597242,Retail / قطاعى,250g / 250 جم,0,20,عنب,,,,,,,
37,gمزايا علكة مستكة 250,Wholesale / جملة,0,4,Store 2 / مخزن 2,6224010597303,Wholesale / جملة,250g / 250 جم,0,4,علكة مستكة,,,,,,,
38,gبلوبيرى مثلج مزايا 250,Retail / قطاعى,0,26,Store 2 / مخزن 2,6224010597341,Retail / قطاعى,250g / 250 جم,0,26,بلوبيرى مثلج,,,,,,,
41,gلوف 66 مزايا 250,Retail / قطاعى,0,4,Store 2 / مخزن 2,6224010597617,Retail / قطاعى,250g / 250 جم,0,4,لوف 66,,,,,,,
44,gجولد علكة قرفة 250,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006582644,Wholesale / جملة,250g / 250 جم,1,10.0,علكة قرفة,0,Wholesale / جملة,,,,,
45,gجولد جوافة 250,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006581937,Wholesale / جملة,250g / 250 جم,1,6,جوافة,0,Wholesale / جملة,,,,,
47,gجولد كيوى مانجو 250,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006582675,Wholesale / جملة,250g / 250 جم,1,6,كيوى مانجو,0,Wholesale / جملة,,,,,
48,gجولد باشن فروت 250,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006582477,Wholesale / جملة,250g / 250 جم,1,2,باشن فروت,0,Wholesale / جملة,,,,,
